Text,Text_Cleansing,negative,neutral,positive
"food court yang memiliki berbagai macam pilihan makanan , mulai dari makanan barat , indonesian makanan seperti makanan sunda , jajanan pasar , makanan jepang sampai orang cina makanan nasi campur serta minuman . lebih cocok datang pada malam hari karena suasana saat siang hari sangat panas .",food cou milik pilih makan makan barat indonesia makan sepe i makan sunda jajan pasar makan jepang orang cina makan nasi campur a minum cocok malam suasana siang panas,0,0,1
"sudah lama banget pengin ke sini sama pasangan atau teman-teman ramuan sebenarnya , belum lagi dengar-dengar cerita dari teman tempat ini nyaman dan enak dijadikan tempat buat nongkrong apalagi buat anak muda . pas dapat off kerja , langsung deh ke sini bareng pacar , kita pesan cappucino , lemon tea , sama 1 loyang meat lovers pizza . no one of them adalah rekomendasi , atau even delicious !",banget pasang temanteman ramu dengardengar cerita teman nyaman enak jadi nongkrong anak muda pas off kerja langsung deh bareng pacar pesan cappucino lemon tea loyang meat cinta pizza no one of them rekomendasi even delicious,1,0,0
tidak akan salah ketika anda mencoba makan malam atau makan siang di sini tempat nya nyaman makanan juga uptodate . enak semua boleh dicoba saya paling suka pizza nya . khas nya itu lawang wangi gedung besar berwarna putih lalu banyak spot untuk ambil gambar untuk harga cukuplah dan saya tidak bosan untuk selalu balik lagi ke siniii,salah coba makan malam makan siang nya nyaman makan uptodate enak coba suka pizza nya khas nya lawang wangi gedung warna putih spot ambil gambar harga bosan siniii,0,0,1
"saya ke sini saat ada acara kantor . restoran ini sangat luas sehingga perlu menggunakan mobil untuk sampai ke area restoran nya . dekor di restoran nya bagus tapi sayang di area sekitar nya kurang menarik , kurang banyak aktivitas yang bisa dilakukan selain foto-foto dan naik kano . dan areal sekitar nya juga kurang rimbun . makanan khas jawa barat nya enak dan banyak pilihan . juga tersedia asinan bogor . itu juga enak . tapi secara keseluruhan baik sih mantap .",acara kantor restoran luas mobil area restoran nya dekor restoran nya bagus sayang area nya tarik aktivitas fotofoto kano areal nya rimbun makan khas jawa barat nya enak pilih sedia asin bogor enak sih mantap,0,0,1
makanan di sini sangat enak . cocok untuk pertemuan kantor atau bersama keluarga besar harga terjangkau,makan enak cocok pe emuan kantor keluarga harga jangkau,0,0,1
kalau sampai jawa tengah kalah tak sembelih kamu .,jawa kalah sembelih,1,0,0
"tempat nya bagus banget , ada yang indoor dan di luar . kebetulan karena saya datang jam 12.30 siang , jadi dapat meja di dalam ruangan . untuk yang luar ruangan baru dibuka pukul 3 sore . walaupun di tempat indoor tapi tetap bisa menikmati indah nya pemandangan pegunungan bandung . fasilitas nya juga lengkap dan bersih . untuk yang bawa anak kecil di sini terdapat beberapa mainan untuk anak . saya memesan spaghetti alfredo . maknyus .",nya bagus banget indoor jam ribu ratus puluh siang meja ruang ruang buka sore indoor nikmat indah nya pandang gunung bandung fasilitas nya lengkap bersih bawa anak main anak mes spaghetti alfredo maknyus,0,0,1
pilihan fpi memang varookkah ! facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy bak ngakak guling,pilih front bela islam varookkah facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy bak tertawa guling,0,0,1
"sangat tidak direkomendasikan , rasa yang cukup enak namun dengan harga yang terlampau mahal . masih banyak tempat lain yang menyediakan makanan serupa dengan harga yang lebih murah",rekomendasi enak harga lampau mahal sedia makan harga murah,1,0,0
otak nya kok cetek banget . kalau saya sih tidak perlu . yang saya perlu . sudah begitu saja . simpel .,otak nya cetek banget sih simpel,1,0,0
"jangan ajak aku ke kebun binatang lagi ya , aku bosan melihat kembaran kamu yang ada di sana",ajak kebun binatang ya bosan kembar,1,0,0
sudah beberapa kali berkunjung ke semilir . selalu menyenangkan buat tempat minum kopi atau makan . tempat nya nyaman dan adem . makanan dan minuman nya enak . favorit saya giachialato kopi nya . menjelang malam ketika cuaca mulai dingin mereka menyediakan pengunjung selimut .,kali kunjung milir senang minum kopi makan nya nyaman adem makan minum nya enak favorit giachialato kopi nya jelang malam cuaca dingin sedia unjung selimut,0,0,1
"saya memesan capuccino di sini . rasanya enak dengan coklat dan whipped cream diatas nya . sebagai camilan , saya memesan banana fried . pisang goreng ditaburi paruitan keju dan coklat diatas nya . rasanya juga enak , namun agak terlalu manis . tempat nya lumayan luas , apalagi ditambah ada nya diskon 50 % menggunakan kartu kredit dari salah satu bank , harga nya jadi sangat murah untuk saya dan rombongan teman-teman yang mengobrol di tempat . lanjutan",mes capuccino enak coklat whipped cream nya camil mes banana fried pisang goreng tabur paruitan keju coklat nya enak manis nya lumayan luas tambah nya diskon puluh kakak kredit salah bank harga nya murah rombong temanteman obrol lanjut,0,0,1
"saya sangat suka dengan semua menu makanan di pandan wangi , hanya setiap berkunjung ke sana selalu ramai sehingga kita harus antre dan apabila kemalaman kita dikenal juga sebagai kehabisan banyak pilihan menu , jadi sebaiknya kita reservasi lebih dulu agar kebagian makan nya",suka menu makan pandan wangi kunjung ramai antre malam kenal habis pilih menu reservasi bagi makan nya,0,0,1
bakso tahu merupakan salah satu makanan khas yang berasal dari kota bandung dan salah satu yang terkenal adalah raja bakso tahu saboga . biasanya bakso tahu yang saya beli adalah paket tahu bakso isi 5 ditambah mi kuning atau bihun . harga nya agak mahal namun itu sebanding dengan porsi makanan nya yang besar dan cita rasanya yang enak .,bakso salah makan khas asal kota bandung salah kenal raja bakso saboga bakso beli paket bakso isi tambah mi kuning bihun harga nya mahal banding porsi makan nya cita enak,0,0,1
sudah muak dengan indihome makin ke sini makin mahal bayar nya dan kualitas nya makin menurun,muak indihome mahal bayar nya kualitas nya turun,1,0,0
jokowi berpesan bahwa siapa pun yang akan menang nanti harus tetap jaga persaudaraan dan persatuan .,jokowi pesan menang jaga saudara satu,0,1,0
indah,indah,0,0,1
sebagai konsumen indofood saya merasa dirugikan !,konsumen indofood rugi,1,0,0
tidak jenuh,jenuh,0,0,1
mustika ratu matte lip cream ultra moisturizing memiliki enam warna yang bisa menjadi pilihan mu .,mustika ratu matte lip cream ultra moisturizing milik enam warna pilih mu,0,1,0
"rumah makan alam desa terletak persis di depan rumah duka nama rohana . di sini ada tempat duduk yang berada dalam beberapa saung dengan lesehan . juga ada meja makan dengan kursi dekat pintu masuk . saat siang hari rasanya makan di salah satu saung nya terasa nyaman dengan pemandangan taman yang hijau dan kolam ikan yang agak keruh . saya suka ayam goreng , gurame goreng , dengan cah kangkung .",rumah makan alam desa letak persis rumah duka nama rohana duduk saung leseh meja makan kursi pintu masuk siang makan salah saung nya nyaman pandang taman hijau kolam ikan keruh suka ayam goreng gurame goreng cah kangkung,0,0,1
menurut lidah ku mi rica ini lebih enak daripada yang di ke saan hehe . pedas nya juga medium saja . baru coba 2 kali mi rica di tempat berbeda di bandung jadi belum bisa banyak kasih komentar,lidah ku mi rica enak saan hehe pedas nya medium coba kali mi rica beda bandung kasih komentar,0,0,1
"90 gourmet menawarkan suasana makan yang sangat nikmat , santai , nyaman , dan tidak terkesan seperti makan di restoran biasa di tengah kota . ada 3 lantai di 90 gourmet restoran ini dan semuanya menawarkan menu yang berbeda . sangat cocok untuk digunakan santap siang bersama dengan teman-teman yang banyak karena area nya yang cukup luas .",sembilan puluh gourmet tawar suasana makan nikmat santai nyaman kes sepe i makan restoran kota lantai sembilan puluh gourmet restoran tawar menu beda cocok santap siang temanteman area nya luas,0,0,1
"bagi anda pecinta keju kafe madtari ini menawarkan olahan makanan seperti , pisang keju , mi rebus atau goreng , roti dan lain-lain yang ditaburi parutan keju yang melimpah yang membuat anda ketagihan dan akan datang lagi ke sini , harga nya yang murah dan terjangkau membuat pecinta keju tentunya sering datang langsung ke sini .",cinta keju kafe madtari tawar olah makan sepe i pisang keju mi rebus goreng roti lainlain tabur parut keju limpah tagih harga nya murah jangkau cinta keju langsung,0,0,1
"porsi yang sangat banyak dan harga murah , tersedia 3 pilihan porsi : 1 porsi , 1 / 2 porsi , 1 / 4 porsi . pelayanan sangat ramah",porsi harga murah sedia pilih porsi porsi porsi porsi layan ramah,0,0,1
"saya boleh bilang ini adalah resto yang cocok untuk keluarga . sambil istri saya belanja oleh oleh dari kartika sari , saya bisa menikmati makan siang di resto ini . anak anak saya bisa bermain di tempat bermain dengan tiket yang murah . menu nya biasa saja dan rasanya lumayan .",bilang resto cocok keluarga istri belanja kakak ika sari nikmat makan siang resto anak anak main main tiket murah menu nya lumayan,0,0,1
"lokasi resto di dekat dago dan suasana nya lumayan . menu nya komplet makanan indonesia sea makanan dll. pelayanan oke , harga juga bersaing . salah satu pilihan untuk makan di bandung",lokasi resto dago suasana nya lumayan menu nya komplet makan indonesia sea makan layan oke harga saing salah pilih makan bandung,0,0,1
"restoran yang terletak di kawasan intercontinental hotel sangat memanjakan mata untuk melihat keindahan kota bandung di waktu malam . soal menu makanan cukup beragam menu nya . dengan menu ala kamu bisa makan cobalah semua menu yang disajikan , mulai dari menu pembuka , menu utama sampai makanan penutup cukup memanjakan lidah karena menu yang ditawarkan bisa dikatakan semuanya enak dan lezat . sebandinglah dengan harga yang diberikan .",restoran letak kawasan intercontinental hotel manja mata indah kota bandung malam menu makan agam menu nya menu ala makan coba menu saji menu buka menu utama makan tutup manja lidah menu tawar enak lezat banding harga,0,0,1
warga temukan 2.910 keping ktp-el di semak belukar,warga temu ribu sembilan ratus puluh keping ktpel semak belukar,0,1,0
bubur ayam di bandung ini enak . cukup terkenal dan tidak kalah dengan bubur ayam lainnya yang terkenal seperti bubur otong dan bubur gibas . bubur hamid ini terkenal dan terletak di jalan merdeka no 27 di makanan cepat saji merdeka,bubur ayam bandung enak kenal kalah bubur ayam kenal sepe i bubur titit bubur gibas bubur hamid kenal letak jalan merdeka no puluh tujuh makan cepat saji merdeka,0,0,1
"anjing ! bicara soal bhineka , soal toleransi , tapi waktu umat islam papua sedang salat ied dan diserang dua tahun lalu kalian diam . masih mau bilang kalian toleransi ! fuck toleran . kasih naik status sok toleran , sok benci radikalisme",anjing bicara bineka toleransi umat islam papua salat idulfitri serang diam bilang toleransi fuck toleran kasih status sok toleran sok benci radikalisme,1,0,0
"braga permai jenis makanan nya sangat banyak . saya pesan mushroom pizza , ukuran nya besar dan tipis sangat enak . mix appetizer nya ada kentang , bitterballen , sosis dan mozarella sticks . es krim coklat nya enak banget . cocok kalau makan ramai-ramai karena porsi nya banyak .",braga permai jenis makan nya pesan mushroom pizza ukur nya tipis enak mix appetizer nya kentang bitterballen sosis mozarella sticks es krim coklat nya enak banget cocok makan ramairamai porsi nya,0,0,1
bermacam-macam rasa dan pilihan pinggiran nya selalu memesan super supreme pizza dengan cheese bites sebagai pinggiran nya salad nya masih segar-segar dan menyenangkan untuk mengambil sendiri,bermacammacam pilih pinggir nya mes super supreme pizza cheese bites pinggir nya salad nya segarsegar senang ambil,0,0,1
"sebenarnya saya datang ke sini tanpa rencana sebelumnya . kemudian barista memberikan saya secangkir kopi , dan terdapat kertas kecil menerangkan tentang kopi . ia dengan menyenangkan bercerita tentang kopi , dan membuat saya mencoba biji kopi yang baru panggang . mereka juga memiliki mesin pemanggang kopi yang menjadikan ruangan harum luar biasa . saya juga mencoba makanan mereka , rasanya enak tetapi kopi mereka lebih enak .",rencana barista cangkir kopi as terang kopi senang cerita kopi coba biji kopi panggang milik mesin panggang kopi jadi ruang harum coba makan enak kopi enak,0,0,1
"tempat nya unik banget sangat nyaman untuk makan siang bersama keluarga . porsi juga banyak terutama vegetable nya . mantap rasanya ,",nya unik banget nyaman makan siang keluarga porsi vegetable nya mantap,0,0,1
aku mau marah sama indosat . kesal .,marah indosat kesal,1,0,0
bakmi yang sangat enak . one of the terbaik bakmi di bandung . cabang yang di tki bandung juga cukup ramai . tempat parkir nya saja yang agak sulit kalau pas ramai . untuk rasa sangat dianjurkan .,bakmi enak one of the baik bakmi bandung cabang tenaga kerja indonesia bandung ramai parkir nya sulit pas ramai anjur,0,0,1
"nama nya booster society , tapi tidak ada minuman beralkohol nya ! tapi ya tidak apa-apa juga sih , tempat nya enak , kecil , tapi nyaman banget plus lumayan child ramah . suka banget dengan tempat ini . harga nya juga oke , chicken popcorn nya enak !",nama nya booster masyarakat minum alkohol nya ya apaapa sih nya enak nyaman banget plus lumayan child ramah suka banget harga nya oke chicken popcorn nya enak,0,0,1
"tempat steak yang legendaris dan terkenal . no wonder , karena rasa steak nya enak , dengan porsi yang cukup besar . harga nya juga sepadan dengan kualitas nya . steak nya cukup empuk dan kentang nya saya suka",steak legendaris kenal no wonder steak nya enak porsi harga nya padan kualitas nya steak nya empuk kentang nya suka,0,0,1
"sabar itu memang cape . tapi kalau dibarengin ikhlas , semua pasti bakal indah pada waktu nya",sabar cape dibarengin ikhlas indah nya,0,0,1
ustad-ustad itu pengikut dajjal ! jangan diikuti . nanti kamu ikut sesat .,ustadustad ikut dajjal ikut sesat,1,0,0
paling sering datang ke mal ini dan makan di sini . bukan cuma makan yang porsi kenyang rasa juga enak . terima kasih semoga tetap menjaga kualitas harga dan makanan,mal makan makan porsi kenyang enak terima kasih moga jaga kualitas harga makan,0,0,1
"saya ke sini bersama beberapa teman untuk makan siang . akses jalan menuju lokasi kafe ini sangat sempit dan terjal , bahkan beberapa bagian rusak . sampai di sana cukup terhibur dengan pemandangan yang bagus dan beberapa art piece yang menarik , termasuk beberapa patung di bagian di luar . kami memesan beberapa menu makanan . setelah menunggu cukup lama , ketika makanan datang rasa dan tampilan nya mengecewakan . ternyata rasanya juga mengecewakan .",teman makan siang akses jalan lokasi kafe sempit terjal rusak hibur pandang bagus a piece tarik patung mes menu makan tunggu makan tampil nya kecewa kecewa,1,0,0
"pelopor batagor ini masih cukup tenar di bandung dan untuk para wisatawan . namun sepertinya sudah sedikit bergeser pamor nya , karena banyak sekali bermunculan merek batagor2 lainnya . tapi batagor ini masih cukup bagus rasa dan kualitas nya .",pelopor batagor tenar bandung wisatawan sepe inya geser pamor nya muncul merek batagor batagor bagus kualitas nya,0,0,1
"hikmah nya natal 2017 tree tidak ada sweping , larangan mengucapkan selamat natal sepi , fpi mendadak moderat dan penuh toleransi , sampai mau dukung natal 212 d monas , semua karena gubernur nya , untuk jakarta aman , jadikan anies tidak benar seumur hidup .",hikmah nya natal ribu tujuh belas tree sweeping larang selamat natal sepi front bela islam dadak moderat penuh toleransi dukung natal ratus belas monas gubernur nya jaka a aman jadi anies umur hidup,0,0,1
"ngomong doang gaya preman , bentak-bentak di depan media . payah cupu ! semoga selanjutnya tim tertangkap massa nih ahok .",bicara doang gaya preman bentakbentak media payah cupu moga tim te angkap massa nih ahok,1,0,0
"tidak perlu jauh-jauh ke luar kota kalau hanya ingin mencari tempat asri . di bandung pun banyak . salah satu nya adalah dusun bambu . letak nya di daerah sersan bajuri . jadi dari terminal ledeng belok kiri jika dari arah bandung . dari sana tinggal ikuti petunjuk jalan nya . tempat parkir nya sangat luas , jadi nyaman bagi pengunjung . tiket masuk nya murah , hanya kisaran 10 ribuan .",jauhjauh kota cari asri bandung salah nya dusun bambu letak nya daerah sersan bajuri terminal ledeng belok kiri arah bandung tinggal ikut tunjuk jalan nya parkir nya luas nyaman unjung tiket masuk nya murah kisar puluh ribu,0,0,1
suasana nya ramai saya pas berbuka puasa datang nya . pelayanan nya ramah menghilangkan masakan yang di hangat kan pun tidak terlalu lama . direkomendasikan bagi pecinta kuliner sunda yang cepat saji . selamat menikmati,suasana nya ramai pas buka puasa nya layan nya ramah hilang masakan hangat rekomendasi cinta kuliner sunda cepat saji selamat nikmat,0,0,1
jangan pernah kecewa dengan apa yang diberikan oleh tuhan,kecewa tuhan,0,0,1
"sebenarnya tidak banyak yang dapat kita lihat di sini , tapi pelayanan nya ramah dan tempat yang disuguhkan berkonsep menarik .",lihat layan nya ramah suguh konsep tarik,0,0,1
"sudah mau mati , permintaa nya banyak amat seperti . kaum pasukan nasi bungkus",mati permintaa nya sepe i kaum pasu nasi bungkus,1,0,0
"tempat ini adalah kedai pertama nasi goreng mafia dibuka . pada awal-awal opening nya , nasi goreng mafia ini penuh dengan pengunjung , sampai sulit untuk mendapatkan tempat duduk , dan pengunjung rela mengantre . saat ini nasi goreng mafia telah membuka banyak cabang di seluruh kota bandung dan luar kota bandung , menu favorit saya adalah yakuza , karena rasanya lebih gurih dan terdapat kikil dalam campuran .",kedai pe nasi goreng mafia buka awalawal opening nya nasi goreng mafia penuh unjung sulit duduk unjung rela antre nasi goreng mafia buka cabang kota bandung kota bandung menu favorit yakuza gurih kikil campur,0,0,1
"sejak buka cendana bistro saya sudah coba makanan , untuk saya kurang cocok , makanan nya biasa-biasa tidak ada yang spesial .",buka cendana bistro coba makan cocok makan nya biasabiasa spesial,0,0,1
"tempat nya sih biasa saja . tetapi nasi jambang nya menurut saya cukup orisinil cirebon . di luar menu itu , ada juga sate cirebn yang cukup enak , karena kambing nya muda , serta ada juga empal gentong .",nya sih nasi jambang nya orisinil cirebon menu sate cirebn enak kambing nya muda a empal gentong,0,0,1
"kereta mutiara timur malam , sby - bnywangi eksekutif tetapi kursi jorok dan kotor sekali . tidak sesuai dengan harga yang sangat mahal , sangat mengecewakan",kereta mutiara timur malam susilo bambang yudhoyono bnywangi eksekutif kursi jorok kotor sesuai harga mahal kecewa,1,0,0
"wah , seneng deh lihat perkembangan indonesia waktu dipegang jokowi , sukses terus , pak .",senang deh lihat kembang indonesia pegang jokowi sukses,0,0,1
langsung pecat yang menghadang pak anies,langsung pecat menghadang anies,1,0,0
"maaf minimal saya tadi kasih angka nya kurang , ini resi yang benar 011770465655617 .",maaf minimal kasih angka nya resi sebelas triliun tujuh ratus tujuh puluh miliar ratus enam puluh juta enam ratus puluh ribu enam ratus tujuh belas,0,1,0
"mengunjungi giggle box di ciwalk , setelah capek berbelanja , makan dan minum di sini sungguh menyenangkan banyak pilihan makanan dan minuman harga nya pun terjangkau biasanya anak-anak muda yang sering berkumpul di tempat ini .",unjung giggle box ciwalk cape belanja makan minum sungguh senang pilih makan minum harga nya jangkau anakanak muda kumpul,0,0,1
"keunikan kue sop ini terletak pada meja berjalan nya yang seperti di toko sushi , namun yang ada di piring-piring nya bukan sushi , melainkan kue ! untuk para pengunjung yang merasa lapar , toko ini juga menyediakan beberapa menu makanan berat . selain makanan , minuman juga disediakan . salah satu minuman yang sering dipesan adalah fuzzy cotton candy , yaitu minuman dengan permen kapas di atas nya . interior toko nya menarik .",uni kue sop letak meja jalan nya sepe i toko sushi piringpiring nya sushi kue unjung lapar toko sedia menu makan berat makan minum sedia salah minum pes fuzzy cotton candy minum permen kapas nya interior toko nya tarik,0,0,1
bukalapak sedang membuka promo besar-besaran .,bukalapak buka promo besarbesaran,0,1,0
setiap kali ke bandung tidak lupa untuk singgah ke bakmi naripan . bakmi nya enak dan juga home membuat . dipertahankan lagi untuk kualitas nya .,kali bandung lupa singgah bakmi naripan bakmi nya enak home dipe ahankan kualitas nya,0,0,1
"ini tempat nya jika anda ingin makan steak dengan bakaran dan saus yang lezat , di sajikan dengan berbagai pilihan kentang . dan pilihan saya jatuh pada kentang bakar keju yang enak sekali , kentang yang dihaluskan dicampur dengan keju mozarella lalu di bakar . hasil nya . jadi yummy . pilihan steak beragam mulai dari daging lokal dan impor , rentang harga mulai dari 65 ribu - 190 ribu untuk steak sapi . lanjutan",nya makan steak bakar saus lezat saji pilih kentang pilih jatuh kentang bakar keju enak kentang halus campur keju mozarella bakar hasil nya enak pilih steak agam daging lokal impor rentang harga enam puluh ribu ratus sembilan puluh ribu steak sapi lanjut,0,0,1
"berlokasi di bragacitywalk , tempat ini cukup nyaman . kalau pas jam makan siang selalu penuh . menawarkan beragam makanan khas bandung , rasa standar sayang porsi nya sedikit walaupun harga tidak terlalu mahal , tetap karena porsi nya sedikit terkadang saya jadi malas untuk makan di tempat ini , apalagi setelah pindah dari depan ke belakang , harga nya tidak seperti dulu , terkenal karena murah meriah dan enak . pelayanan pun kurang . lanjutan",lokasi bragacitywalk nyaman pas jam makan siang penuh tawar agam makan khas bandung standar sayang porsi nya harga mahal porsi nya terkadang malas makan pindah harga nya sepe i kenal murah riah enak layan lanjut,0,0,1
menu kepiting saos singapore nya sangat istimewa dan menjadi ciri khas nya . sudah coba di tempat lain untuk saos singapore belum ada yang mirip atau lebih dalam cita rasanya . harga juga cukup bersaing dibanding restoran dengan menu kepiting di tempat lain . jauh-jauh dari jakarta ke bandung untuk mendapatkan kepiting saos singapore .,menu kepiting saos singapura nya istimewa ciri khas nya coba saos singapura cita harga saing banding restoran menu kepiting jauhjauh jaka a bandung kepiting saos singapura,0,0,1
saya paling tidak suka capres yang kenakan isu bohong nenek .,suka calon presiden kena isu bohong nenek,1,0,0
restoran di sini selalu penuh karena letak nya yang strategis di pintu masuk mal paris van java . pelayanan rata-rata . rasa bubur cukup enak . rasa masakan orang cina makanan juga cukup enak . proses penyajian dari order sampai penghidangan juga cukup cepat .,restoran penuh letak nya strategis pintu masuk mal paris van java layan ratarata bubur enak masakan orang cina makan enak proses saji order hidang cepat,0,0,1
mau marah saja aku sama indosat,marah indosat,1,0,0
"ada banyak warung nasi ampera , terutama di daerah asal nya bandung . paling tidak terdapat sembilan lokasi : jalan soekarno hatta , dalem kaum , phh mustofa , pajajaran , otto iskandardinata , arcamanik , cileunyi , trunojoyo dan king s food center , jalan kepatihan . restoran yang mengusung konsep warung ini juga menerima pesanan berupa nasi dus , nasi bungkus dan katering melalui telepon yang tersedia 24 jam . makanan nya enak .",warung nasi ampera daerah nya bandung sembilan lokasi jalan soekarno hatta kaum phh mustofa pajajaran otto iskandardinata arcamanik cileunyi trunojoyo raja si food center jalan patih restoran usung konsep warung terima pesan nasi dus nasi bungkus katering telepon sedia puluh jam makan nya enak,0,0,1
"warung wayang ku menjual berbagai makanan khas indonesia , seperti gudeg , pempek , sop iga , dan juga bebek goreng . harga makanan di sini cukup murah .",warung wayang ku jual makan khas indonesia sepe i gudeg pempek sop iga bebek goreng harga makan murah,0,0,1
"ada banyak restoran vegetarian di bandung , salah satu nya ahimsa . dengan lokasi yang mudah dijangkau , ahimsa menjadi salah satu tujuan kuliner bagi penyuka masakan vegetarian . dan yang paling penting harga di ahimsa ini cukup terjangkau . cocok untuk kuliner bersama teman-teman ataupun keluarga .",restoran vegetarian bandung salah nya ahimsa lokasi mudah jangkau ahimsa salah tuju kuliner suka masakan vegetarian harga ahimsa jangkau cocok kuliner temanteman keluarga,0,0,1
"kecil-kecil cabai rawit diusung pdip jadi cagub lampung , megawati singgung istri herman hn begini",kecilkecil cabai rawit usung partai demokrasi indonesia juang calon gubernur lampung megawati singgung istri herman hn,0,1,0
"sangat cocok bagi yang suka mi atau bihun bisa kuah maupun kering , juga tersedia nasi tim dan bakso goreng yang enak",cocok suka mi bihun kuah kering sedia nasi tim bakso goreng enak,0,0,1
"restoran ini sangat romantic di acara makan malam , udara nya masih segar karena di atas bukit dengan pemandangan pohon pohon . sangat unik . dan ada nya live music menambah exotic nya suasana . makanan nya lumayan enak dengan porsi yang pas . tamu saya orang jepang sangat menfavorit kan restoran ini .",restoran romantic acara makan malam udara nya segar bukit pandang pohon pohon unik nya live musik tambah eic nya suasana makan nya lumayan enak porsi pas tamu orang jepang menfavorit restoran,0,0,1
"bukankah mereka terpecah dengan sendiri nya karena ada orang-orang seperti amien rais , sebetulnya yang memecah umat itu ya si amien itu sendiri . lihat kelakuan dan perkata nya .",pecah nya orangorang sepe i amien rais pecah umat ya sih amien lihat laku kata nya,1,0,0
"terletak di jalan dago , verde memang mudah untuk dicapai . sudah beberapa kali saya melewati verde dan selalu penuh sehingga membuat saya penasaran untuk mencoba nya . saya beruntung bisa mencoba nya pada saat liburan . verde sesuai nama nya memang seperti lounge di mana di tengah nya terdapat bar yang dikeliling oleh tempat duduk . pengunjung juga bisa memilih untuk duduk di meja yang biasa .",letak jalan dago verde mudah capai kali lewat verde penuh penasaran coba nya untung coba nya libur verde sesuai nama nya sepe i lounge nya bar keliling duduk unjung pilih duduk meja,0,0,1
semua makanan ada di sini namun jangan sekali-sekali ke sini saat malam minggu . saya pergi ke sana malam minggu dan sangat ramai hingga akhirnya harus menunggu giliran untuk dapat tempat duduk .,makan sekalisekali malam minggu pergi malam minggu ramai tunggu gilir duduk,0,0,1
"hai jika barang yang diterima tidak sesuai silakan klik pengembalian barang ya , cek untuk panduan lengkap nya",hai barang terima sesuai sila klik kembali barang ya cek pandu lengkap nya,0,1,0
saya tidak marah pada nu walaupun begitu pada ku,marah nu ku,0,0,1
menyesal gua rambut rambut bondol,sesal gue rambut rambut bondol,1,0,0
kesal sendiri jalan di gang yang sempit terus ibu-ibu berjejer jalan nyamping penuhkan jalan sambil gosip gosip,kesal jalan gang sempit ibuibu jejer jalan nyamping penuh jalan gosip gosip,1,0,0
"memang banyak bacot sih , omongan doang gede bocah , kalau memang lu simpatik ke suku asmat , suruh mahasiswa dokter terbaik mu datang untuk ke papua , biar kalian tahu rasanya nyamuk malaria itu seperti apa",bacot sih omong doang gede bocah simpatik suku asmat suruh mahasiswa dokter baik mu papua biar nyamuk malaria sepe i,1,0,0
kekalahan dempul di pilgub jabar bikin dia akan nyaleg di dpr .,kalah dempul pilih gubernur jabar bikin calon anggota legislatif dewan wakil rakyat,0,1,0
"pria tabrak warga dengan mobil di prancis , 2 terluka",pria tabrak warga mobil prancis luka,0,1,0
semua yang baru di bulan september ini hanya di net .,september net,0,1,0
"makan siang yang kepepet ya di sini saja , haha tapi yang paling enak beer float nya mantap banget . selamat makan .",makan siang pepet ya haha enak bir float nya mantap banget selamat makan,0,0,1
"aku datang jam 12 malam di hari jumat . pokatiam buka sampai jam 1 khusus hari jumat - sabtu . aku order 2 nasi campur . yang 1 pakai nasi putih , yang 1 nasi hainam . oke , aku kecewa , ternyata nasi campur nya biasa saja . tidak spesial . dengan harga 46 ribu , cuma dikasih irisan-irisan daging . yang mana daging babi nya cuma sedikit , tidak ada sate nya .",jam belas malam jumat pokatiam buka jam khusus jumat sabtu order nasi campur pakai nasi putih nasi hainam oke kecewa nasi campur nya spesial harga puluh enam ribu kasih irisanirisan daging daging babi nya sate nya,1,0,0
"bagaimana tidak marah coba , kena php indosat terus nih . pulsa selalu terpotong ludes tak tersisa .",marah coba kena php indosat nih pulsa potong ludes sisa,1,0,0
"bubarkan kpk saja kakak , kpk digajih gede , yang korupsi makin menumpuk .",bubar komisi berantas korupsi kakak komisi berantas korupsi gajih gede korupsi tumpuk,1,0,0
islam anjing babi bangsat mati saja itu islam babi ?,islam anjing babi bangsat mati islam babi,1,0,0
"dulu kalau tidak salah ini nama nya lotek siap cie , enak banget rasanya dan harga nya pun tidak murah , selain itu ada biji salak , candil , dan lain-lain yang rasanya mantap banget .",salah nama nya lotek enak banget harga nya murah biji salak candil lainlain mantap banget,0,0,1
ceo - nya go-jek mengeluh terus bawa-bawa cinta produk dalam negeri . menghormati saya turun drastis banget sama orang ini . cengeng .,ceo nya gojek keluh bawabawa cinta produk negeri hormat turun drastis banget orang cengeng,1,0,0
tidak malas,malas,0,0,1
"penyewa yang lengkap , pilihan makanan yang cukup lengkap , suasana menarik hanya area parkir yang tidak terlalu besar .",sewa lengkap pilih makan lengkap suasana tarik area parkir,0,0,1
"berhubung saya pecinta makanan tradisional daripada makanan barat . mi bakso miskal ini enak sekali apalagi ditambah dengan pangsit nya . lezat ,",hubung cinta makan tradisional makan barat mi bakso miskal enak tambah pangsit nya lezat,0,0,1
